Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE,230124,1/24/2023,209742,CME ,00,209 ,273887,68143,43761,1141,88155,52070,9755,58034,87343,6394,9398,28738,21,241041,229223,32846,44664,-1128,1056,-1734,-219,2525,-5408,260,-4695,6636,106,-252,-2767,5,-1214,-3121,86,1993,100,24.9,16,0.4,32.2,19,3.6,21.2,31.9,2.3,3.4,10.5,0,88,83.7,12,16.3,295,29,17,6,62,45,35,44,58,25,16,24,,179,184,23.4,24.6,36,36.3,23.4,24.3,35.4,36,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE,230117,1/17/2023,209742,CME ,00,209 ,275015,67087,45495,1360,85630,57478,9495,62729,80707,6288,9650,31505,16,242255,232344,32760,42671,21390,9685,-815,-348,5595,-5100,902,4599,10299,913,1437,12798,-1191,21592,17458,-202,3932,100,24.4,16.5,0.5,31.1,20.9,3.5,22.8,29.3,2.3,3.5,11.5,0,88.1,84.5,11.9,15.5,295,31,19,6,62,45,32,45,53,22,17,23,,182,175,23.1,24.1,34.9,36,23,23.4,34.5,35.4,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE,230110,1/10/2023,209742,CME ,00,209 ,253625,57402,46310,1708,80035,62578,8593,58130,70408,5375,8213,18707,1207,220663,214886,32962,38739,8967,7673,4902,-2014,5975,-5737,-378,-474,9989,643,-2133,1649,1197,10489,10251,-1522,-1284,100,22.6,18.3,0.7,31.6,24.7,3.4,22.9,27.8,2.1,3.2,7.4,0.5,87,84.7,13,15.3,291,30,20,5,61,42,30,45,59,22,15,19,,175,176,23,26.1,34.2,38.5,22.8,25.6,33.9,38,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE,230103,1/3/2023,209742,CME ,00,209 ,244658,49729,41408,3722,74060,68315,8971,58604,60419,4732,10346,17058,10,210174,204635,34484,40023,-6123,-7390,1533,2878,-3649,-9,-419,3112,-10378,-149,792,266,-1255,-6080,-7533,-43,1410,100,20.3,16.9,1.5,30.3,27.9,3.7,24,24.7,1.9,4.2,7,0,85.9,83.6,14.1,16.4,286,30,19,5,57,47,35,40,54,22,19,20,,178,171,23.1,22.8,35.1,35,22.9,22.6,34.8,34.8,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,209747,CME ,00,209 ,179774,14267,7553,0,2472,1356,1381,31606,132089,1190,1703,2223,0,52619,145792,127155,33982,2790,-517,-534,0,56,-188,104,2157,3177,-1281,943,568,-9,1453,1837,1337,953,100,7.9,4.2,0,1.4,0.8,0.8,17.6,73.5,0.7,0.9,1.2,0,29.3,81.1,70.7,18.9,41,,6,0,5,,,9,9,,4,4,0,24,20,22.4,71.6,25.4,77.6,22.4,71.5,25,76.1,(NASDAQ 100 STOCK INDEX x $2),F20,FutOnly
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,209747,CME ,00,209 ,176984,14784,8087,0,2416,1544,1277,29449,128912,2471,760,1655,9,51166,143955,125818,33029,25687,6166,1130,0,-44,420,85,-1501,31873,761,70,121,9,5546,34399,20141,-8712,100,8.4,4.6,0,1.4,0.9,0.7,16.6,72.8,1.4,0.4,0.9,0,28.9,81.3,71.1,18.7,38,,6,0,6,,,8,8,6,,4,,25,21,23.3,70.9,26.3,77.2,23.3,70.9,25.1,75.8,(NASDAQ 100 STOCK INDEX x $2),F20,FutOnly
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,209747,CME ,00,209 ,151297,8618,6957,0,2460,1124,1192,30950,97039,1710,690,1534,0,45620,109556,105677,41741,10099,1062,719,0,347,298,-39,-11738,10745,-28,-1575,285,-100,-12071,11880,22170,-1781,100,5.7,4.6,0,1.6,0.7,0.8,20.5,64.1,1.1,0.5,1,0,30.2,72.4,69.8,27.6,40,,6,0,6,,,8,11,6,,4,0,23,24,23.4,61.7,26.5,68.2,23.4,61.6,26.1,66.6,(NASDAQ 100 STOCK INDEX x $2),F20,FutOnly
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,230207,2/7/2023,209747,CME ,00,209 ,141198,7556,6238,0,2113,826,1231,42688,86294,1738,2265,1249,100,57691,97676,83507,43522,20927,-220,2209,0,330,481,-79,17655,13159,696,-2944,669,0,15438,17135,5489,3792,100,5.4,4.4,0,1.5,0.6,0.9,30.2,61.1,1.2,1.6,0.9,0.1,40.9,69.2,59.1,30.8,41,,6,0,5,,,8,12,6,,4,,23,26,33,58.9,37,64.1,33,58,36.4,62.6,(NASDAQ 100 STOCK INDEX x $2),F20,FutOnly
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,230131,1/31/2023,209747,CME ,00,209 ,120271,7776,4029,0,1783,345,1310,25033,73135,1042,5209,580,100,42253,80541,78018,39730,13486,2213,914,0,-256,102,-35,-1968,10973,304,67,152,10,335,12420,13151,1066,100,6.5,3.3,0,1.5,0.3,1.1,20.8,60.8,0.9,4.3,0.5,0.1,35.1,67,64.9,33,38,,5,0,4,,,11,8,6,5,,,27,19,24.5,60.5,28.9,64.7,24.5,59.9,28.5,63.1,(NASDAQ 100 STOCK INDEX x $2),F20,FutOnly
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,230124,1/24/2023,209747,CME ,00,209 ,106785,5563,3115,0,2039,243,1345,27001,62162,738,5142,428,90,41918,68121,64867,38664,14488,1382,-116,0,-130,243,-44,6183,10937,-1084,-767,-1490,-30,5510,8416,8978,6072,100,5.2,2.9,0,1.9,0.2,1.3,25.3,58.2,0.7,4.8,0.4,0.1,39.3,63.8,60.7,36.2,35,,4,0,5,,,7,9,7,4,,,24,20,25.2,57.1,32.4,61.4,25.2,56.6,32.3,59.8,(NASDAQ 100 STOCK INDEX x $2),F20,FutOnly
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,230117,1/17/2023,209747,CME ,00,209 ,92297,4181,3231,0,2169,0,1389,20818,51225,1822,5909,1918,120,36408,59705,55889,32592,18720,-1981,1136,0,132,0,-34,10058,9326,753,994,1043,120,10042,12344,8678,6376,100,4.5,3.5,0,2.4,0,1.5,22.6,55.5,2,6.4,2.1,0.1,39.4,64.7,60.6,35.3,37,,,0,6,0,,6,12,6,,4,,23,22,24.9,52.5,32.5,59.5,24.9,52.2,31.9,57.2,(NASDAQ 100 STOCK INDEX x $2),F20,FutOnly
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,230110,1/10/2023,209747,CME ,00,209 ,73577,6162,2095,0,2037,0,1423,10760,41899,1069,4915,875,0,26366,47361,47211,26216,-1710,1739,1023,0,-639,0,255,886,-7598,-908,1694,24,0,3027,-7204,-4737,5494,100,8.4,2.8,0,2.8,0,1.9,14.6,56.9,1.5,6.7,1.2,0,35.8,64.4,64.2,35.6,38,,4,0,5,0,,11,9,7,,,0,26,20,15.1,55.4,25.1,60.2,15.1,55.1,23.7,58.2,(NASDAQ 100 STOCK INDEX x $2),F20,FutOnly
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,230103,1/3/2023,209747,CME ,00,209 ,75287,4423,1072,0,2676,0,1168,9874,49497,1977,3221,851,0,23339,54565,51948,20722,-2058,114,293,0,230,0,108,2501,-4159,128,988,851,0,4069,-2779,-6127,721,100,5.9,1.4,0,3.6,0,1.6,13.1,65.7,2.6,4.3,1.1,0,31,72.5,69,27.5,33,,,0,6,0,,7,11,6,,,0,23,17,17.6,58.9,25.2,68.2,17.4,57.9,23.1,64.8,(NASDAQ 100 STOCK INDEX x $2),F20,FutOnly
RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,239742,CME ,00,239 ,440142,73584,45983,3824,185855,166909,41316,76100,120310,7349,27659,31453,39,415726,417183,24416,22959,5609,2374,-5029,-164,2038,7842,2459,6042,-1848,-1702,-4636,620,-4,6407,2174,-798,3435,100,16.7,10.4,0.9,42.2,37.9,9.4,17.3,27.3,1.7,6.3,7.1,0,94.5,94.8,5.5,5.2,314,24,16,5,82,66,47,48,54,20,8,16,,203,185,25,13.8,38.5,23.6,24.8,13.5,37.8,22.8,(RUSSEL 2000 INDEX X $50),F20,FutOnly
RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,239742,CME ,00,239 ,434533,71210,51012,3988,183817,159067,38857,70058,122158,9051,32295,30833,43,409319,415009,25214,19524,-35,-4222,-1208,318,-4303,4696,927,369,-8457,1863,6045,1175,17,1014,-669,-1049,634,100,16.4,11.7,0.9,42.3,36.6,8.9,16.1,28.1,2.1,7.4,7.1,0,94.2,95.5,5.8,4.5,320,26,16,5,86,63,45,44,62,26,8,15,,205,193,24.6,11.8,37.7,22,24.5,11.6,36.9,21.4,(RUSSEL 2000 INDEX X $50),F20,FutOnly
RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,239742,CME ,00,239 ,434568,75432,52220,3670,188120,154371,37930,69689,130615,7188,26250,29658,26,408305,415678,26263,18890,-3006,1698,88,-948,-4773,1559,-337,-778,-3754,279,2576,-1049,1,-2282,-4161,-724,1155,100,17.4,12,0.8,43.3,35.5,8.7,16,30.1,1.7,6,6.8,0,94,95.7,6,4.3,321,25,17,5,86,67,46,44,57,22,11,14,,209,187,23.7,11.5,37.3,21.1,23.6,11,36.6,20.2,(RUSSEL 2000 INDEX X $50),F20,FutOnly
RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,230207,2/7/2023,239742,CME ,00,239 ,437574,73734,52132,4618,192893,152812,38267,70467,134369,6909,23674,30707,25,410587,419839,26987,17735,6746,-2260,6541,-951,14138,-3155,-1496,-4024,2457,1377,-1532,3850,0,5252,8623,1494,-1877,100,16.9,11.9,1.1,44.1,34.9,8.7,16.1,30.7,1.6,5.4,7,0,93.8,95.9,6.2,4.1,326,26,18,5,85,66,45,43,62,25,9,17,,209,193,23.5,12,36.9,22.1,23.4,11.7,35.9,21.1,(RUSSEL 2000 INDEX X $50),F20,FutOnly
RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,230131,1/31/2023,239742,CME ,00,239 ,430828,75994,45591,5569,178755,155967,39763,74491,131912,5532,25206,26857,25,405335,411216,25493,19612,7164,2167,3871,-368,1106,-823,-136,2166,7869,833,1970,-3745,-2,7736,7499,-572,-335,100,17.6,10.6,1.3,41.5,36.2,9.2,17.3,30.6,1.3,5.9,6.2,0,94.1,95.4,5.9,4.6,326,25,16,4,86,65,43,47,62,28,9,16,,209,193,23.6,13.9,35.1,23.5,23.4,13.4,33.9,22.8,(RUSSEL 2000 INDEX X $50),F20,FutOnly
RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,230124,1/24/2023,239742,CME ,00,239 ,423664,73827,41720,5937,177649,156790,39899,72325,124043,4699,23236,30602,27,397599,403717,26065,19947,-5271,-5684,359,-35,5933,-4285,-945,-5557,-3822,-661,-38,5028,3,-6984,-4358,1713,-913,100,17.4,9.8,1.4,41.9,37,9.4,17.1,29.3,1.1,5.5,7.2,0,93.8,95.3,6.2,4.7,316,24,17,4,87,62,43,43,60,28,7,16,,202,190,24.4,15.9,36.3,25.4,24.3,15.4,35,24.3,(RUSSEL 2000 INDEX X $50),F20,FutOnly
RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,230117,1/17/2023,239742,CME ,00,239 ,428935,79511,41361,5972,171716,161075,40844,77882,127865,5360,23274,25574,24,404583,408075,24352,20860,-3473,-7831,11795,-402,4855,-22400,-806,-373,7336,1051,437,260,0,-3069,-3166,-404,-307,100,18.5,9.6,1.4,40,37.6,9.5,18.2,29.8,1.2,5.4,6,0,94.3,95.1,5.7,4.9,314,25,17,4,87,66,43,43,53,27,8,15,,205,184,23.4,18.8,35.4,28.3,23.2,18.3,34,27.1,(RUSSEL 2000 INDEX X $50),F20,FutOnly
RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,230110,1/10/2023,239742,CME ,00,239 ,432408,87342,29566,6374,166861,183475,41650,78255,120529,4309,22837,25314,24,407652,411241,24756,21167,-1797,-6382,2543,464,2630,-3642,1018,-2202,-2581,-260,155,1188,-3,-4580,-1273,2783,-524,100,20.2,6.8,1.5,38.6,42.4,9.6,18.1,27.9,1,5.3,5.9,0,94.3,95.1,5.7,4.9,302,26,13,4,83,65,43,41,52,20,7,15,,193,177,23.4,24,35.9,33.5,23.4,23.4,34.7,32.4,(RUSSEL 2000 INDEX X $50),F20,FutOnly
RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,230103,1/3/2023,239742,CME ,00,239 ,434205,93724,27023,5910,164231,187117,40632,80457,123110,4569,22682,24126,27,412232,412514,21973,21691,-569,886,-719,2185,-2203,4848,-625,1411,-2841,-1280,-419,-1740,-3,-48,-175,-521,-394,100,21.6,6.2,1.4,37.8,43.1,9.4,18.5,28.4,1.1,5.2,5.6,0,94.9,95,5.1,5,305,26,15,4,82,67,43,43,52,20,8,12,,194,179,23.1,25.5,35.7,34.9,23.1,25.1,34.7,33.6,(RUSSEL 2000 INDEX X $50),F20,FutOnly
EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,239744,CME ,00,239 ,19222,6027,17689,0,9564,610,0,2541,585,0,0,0,0,18132,18884,1090,338,965,0,1205,0,1054,-2,0,12,-11,0,0,0,0,1066,1192,-101,-227,100,31.4,92,0,49.8,3.2,0,13.2,3,0,0,0,0,94.3,98.2,5.7,1.8,27,,5,0,13,,0,,,0,0,0,0,18,9,44.4,85.2,69.6,96.8,44.4,85.2,69.6,96.8,(RUSSELL 1000 VALUE INDEX x $50),F20,FutOnly
EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,239744,CME ,00,239 ,18257,6027,16484,0,8510,612,0,2529,596,0,0,0,0,17066,17692,1191,565,106,3076,10,0,-2849,0,0,0,0,0,0,0,0,227,10,-121,96,100,33,90.3,0,46.6,3.4,0,13.9,3.3,0,0,0,0,93.5,96.9,6.5,3.1,25,,4,0,12,,0,,,0,0,0,0,17,8,46.7,90.3,70.9,96.9,46.7,90.3,70.9,96.9,(RUSSELL 1000 VALUE INDEX x $50),F20,FutOnly
EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,239744,CME ,00,239 ,18151,2951,16474,0,11359,612,0,2529,596,0,0,0,0,16839,17682,1312,469,-186,0,-310,0,-349,-24,0,0,0,0,0,0,0,-349,-334,163,148,100,16.3,90.8,0,62.6,3.4,0,13.9,3.3,0,0,0,0,92.8,97.4,7.2,2.6,24,,4,0,12,,0,,,0,0,0,0,16,8,51.7,90.8,73.8,97.4,51.7,90.8,73.8,97.4,(RUSSELL 1000 VALUE INDEX x $50),F20,FutOnly
EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,230207,2/7/2023,239744,CME ,00,239 ,18337,2951,16784,0,11708,636,0,2529,596,0,0,0,0,17188,18016,1149,321,-407,0,-488,0,412,-10,0,-7,0,0,0,0,0,405,-498,-812,91,100,16.1,91.5,0,63.8,3.5,0,13.8,3.3,0,0,0,0,93.7,98.2,6.3,1.8,24,,4,0,12,,0,,,0,0,0,0,16,8,51.2,91.5,73.4,98.2,51.2,91.5,73.4,98.2,(RUSSELL 1000 VALUE INDEX x $50),F20,FutOnly
EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,230131,1/31/2023,239744,CME ,00,239 ,18744,2951,17272,0,11296,646,0,2536,596,0,0,0,0,16783,18514,1961,230,-379,1567,-467,0,-2542,-9,0,9,314,0,0,0,0,-966,-162,587,-217,100,15.7,92.1,0,60.3,3.4,0,13.5,3.2,0,0,0,0,89.5,98.8,10.5,1.2,22,,4,0,10,,0,,,0,0,0,0,14,8,50.1,92.1,74.3,98.8,50.1,92.1,74.3,98.8,(RUSSELL 1000 VALUE INDEX x $50),F20,FutOnly
EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,230124,1/24/2023,239744,CME ,00,239 ,19123,1384,17739,0,13838,655,0,2527,282,0,0,0,0,17749,18676,1374,447,186,183,-77,0,197,0,0,-317,0,0,0,0,0,63,-77,123,263,100,7.2,92.8,0,72.4,3.4,0,13.2,1.5,0,0,0,0,92.8,97.7,7.2,2.3,21,,5,0,9,,0,,,0,0,0,0,13,8,58.7,90.1,79.6,97.7,58.7,90.1,79.6,97.7,(RUSSELL 1000 VALUE INDEX x $50),F20,FutOnly
EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,230117,1/17/2023,239744,CME ,00,239 ,18937,1201,17816,0,13641,655,0,2844,282,0,0,0,0,17686,18753,1251,184,-112,0,-20,0,-357,0,0,0,-6,0,0,0,0,-357,-26,245,-86,100,6.3,94.1,0,72,3.5,0,15,1.5,0,0,0,0,93.4,99,6.6,1,22,,5,0,9,,0,,,0,0,0,0,14,8,58.9,91.4,80,99,58.9,91.4,80,99,(RUSSELL 1000 VALUE INDEX x $50),F20,FutOnly
EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,230110,1/10/2023,239744,CME ,00,239 ,19049,1201,17836,0,13998,655,0,2844,288,0,0,0,0,18043,18779,1006,270,-700,0,-790,0,-370,3,0,0,0,0,0,0,0,-370,-787,-330,87,100,6.3,93.6,0,73.5,3.4,0,14.9,1.5,0,0,0,0,94.7,98.6,5.3,1.4,23,,5,0,10,,0,,,0,0,0,0,15,8,58.5,91,79.5,98.6,58.5,91,79.5,98.6,(RUSSELL 1000 VALUE INDEX x $50),F20,FutOnly
EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,230103,1/3/2023,239744,CME ,00,239 ,19749,1201,18626,0,14368,652,0,2844,288,0,0,0,0,18413,19566,1336,183,27,0,52,0,38,0,0,8,-5,0,0,0,0,46,47,-19,-20,100,6.1,94.3,0,72.8,3.3,0,14.4,1.5,0,0,0,0,93.2,99.1,6.8,0.9,22,,5,0,9,,0,,,0,0,0,0,14,8,57.4,91.7,79,99.1,57.4,91.7,79,99.1,(RUSSELL 1000 VALUE INDEX x $50),F20,FutOnly
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,240741,CME ,00,240 ,13042,713,2026,0,6247,2203,7,1750,2164,30,1214,3423,8,9969,9861,3073,3181,193,-489,-9,0,376,0,-1,532,-9,30,0,131,0,448,142,-255,51,100,5.5,15.5,0,47.9,16.9,0.1,13.4,16.6,0.2,9.3,26.2,0.1,76.4,75.6,23.6,24.4,25,,,0,7,4,,,,,,,,14,15,50.3,42.2,65.2,66.4,50.3,42,65.2,66.2,(NIKKEI INDEX X $5.00),F20,FutOnly
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,240741,CME ,00,240 ,12849,1202,2035,0,5871,2203,8,1218,2173,0,1214,3292,8,9521,9719,3328,3130,131,-63,144,0,-325,0,0,233,16,0,89,97,-3,-69,254,200,-123,100,9.4,15.8,0,45.7,17.1,0.1,9.5,16.9,0,9.4,25.6,0.1,74.1,75.6,25.9,24.4,25,,,0,6,4,,,,0,,,,12,16,46.4,41.3,64.2,64.6,46.4,41.3,64.2,64.6,(NIKKEI INDEX X $5.00),F20,FutOnly
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,240741,CME ,00,240 ,12718,1265,1891,0,6196,2203,8,985,2157,0,1125,3195,11,9590,9465,3128,3253,66,840,194,0,-1184,-5,-6,548,-266,0,-308,237,0,-110,154,176,-88,100,9.9,14.9,0,48.7,17.3,0.1,7.7,17,0,8.8,25.1,0.1,75.4,74.4,24.6,25.6,25,,,0,7,4,,,,0,,,,13,15,47.5,43.9,63.7,66.1,47.5,43.9,63.6,66.1,(NIKKEI INDEX X $5.00),F20,FutOnly
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,230207,2/7/2023,240741,CME ,00,240 ,12652,425,1697,0,7380,2208,14,437,2423,0,1433,2958,11,9700,9311,2952,3341,-1678,0,-761,0,-2010,0,1,0,-1339,0,0,81,0,-2009,-2018,331,340,100,3.4,13.4,0,58.3,17.5,0.1,3.5,19.2,0,11.3,23.4,0.1,76.7,73.6,23.3,26.4,24,,,0,8,4,,,,0,,,,12,15,53.6,42.5,68.5,63.8,53.6,42.5,68.4,63.8,(NIKKEI INDEX X $5.00),F20,FutOnly
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,230131,1/31/2023,240741,CME ,00,240 ,14330,425,2458,0,9390,2208,13,437,3762,0,1433,2877,11,11709,11329,2621,3001,-207,0,-492,0,-567,267,-12,10,77,0,191,236,11,-367,87,160,-294,100,3,17.2,0,65.5,15.4,0.1,3,26.3,0,10,20.1,0.1,81.7,79.1,18.3,20.9,26,,,0,8,4,,,4,0,,,,12,17,61.7,38.9,74.5,60.9,61.7,38.9,74.4,60.9,(NIKKEI INDEX X $5.00),F20,FutOnly
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,230124,1/24/2023,240741,CME ,00,240 ,14537,425,2950,0,9957,1941,25,427,3685,0,1242,2641,0,12076,11242,2461,3295,399,0,-174,0,1062,-521,2,-212,918,0,0,308,0,852,533,-453,-134,100,2.9,20.3,0,68.5,13.4,0.2,2.9,25.3,0,8.5,18.2,0,83.1,77.3,16.9,22.7,25,,,0,9,,,,4,0,,,0,12,16,60.8,35.7,75.6,60.4,60.8,35.7,75.6,60.4,(NIKKEI INDEX X $5.00),F20,FutOnly
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,230117,1/17/2023,240741,CME ,00,240 ,14138,425,3124,0,8895,2462,23,639,2767,0,1242,2333,0,11224,10709,2914,3429,2147,-132,115,0,1933,1941,13,267,-1190,0,0,685,0,2081,1564,66,583,100,3,22.1,0,62.9,17.4,0.2,4.5,19.6,0,8.8,16.5,0,79.4,75.7,20.6,24.3,25,,,0,8,4,,,,0,,,0,12,16,55.9,39,71.8,60.4,55.9,39,71.7,60.4,(NIKKEI INDEX X $5.00),F20,FutOnly
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,230110,1/10/2023,240741,CME ,00,240 ,11991,557,3009,0,6962,521,10,372,3957,0,1242,1648,0,9143,9145,2848,2846,102,557,193,0,671,0,-3,-93,-152,0,-840,174,0,292,212,-190,-110,100,4.6,25.1,0,58.1,4.3,0.1,3.1,33,0,10.4,13.7,0,76.2,76.3,23.8,23.7,21,,4,0,6,,,,4,0,,,0,9,13,54.3,49.5,74.4,65.7,54.3,49.5,74.3,65.7,(NIKKEI INDEX X $5.00),F20,FutOnly
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,230103,1/3/2023,240741,CME ,00,240 ,11889,0,2816,0,6291,521,13,465,4109,0,2082,1474,0,8851,8933,3038,2956,,,,,,,,,,,,,,,,,,100,0,23.7,0,52.9,4.4,0.1,3.9,34.6,0,17.5,12.4,0,74.4,75.1,25.6,24.9,21,0,4,0,6,,,,4,0,,,0,9,14,60,50.3,72.8,64.7,60,50.3,72.7,64.7,(NIKKEI INDEX X $5.00),F20,FutOnly
NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,240743,CME ,00,240 ,42383,3349,12703,644,13600,2641,2143,9691,6723,530,7069,0,0,37026,25384,5357,16999,426,-202,-982,-30,838,-658,215,-1427,2267,490,624,0,-2,506,1300,-80,-874,100,7.9,30,1.5,32.1,6.2,5.1,22.9,15.9,1.3,16.7,0,0,87.4,59.9,12.6,40.1,51,5,9,,10,4,6,10,9,5,4,0,0,36,28,36.9,28.7,58.2,40.5,36.8,27.3,55.9,37.8,(NIKKEI INDEX X JPY 500),F20,FutOnly
